faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,teamShutouts,ties,wins,winsInRegulation,winsInShootout,season
0.488603,82,251,3.06097,233,2.84146,30,14,0.84375,0.825893,0.54878,90,0.193693,0.225225,35,20242025,26.80487,25.53658,Vancouver Canucks,23,5,,38,28,3,2024-2025
0.477787,82,267,3.25609,267,3.25609,33,9,0.811059,0.769586,0.54268,89,0.156756,0.194594,34,20242025,29.91463,29.04878,Columbus Blue Jackets,29,4,,40,30,6,2024-2025
0.515686,82,247,3.01219,240,2.92682,31,13,0.808764,0.792829,0.54268,89,0.207627,0.241525,37,20242025,27.70731,28.54878,Utah Hockey Club,59,2,,38,30,1,2024-2025
0.489738,82,259,3.15853,235,2.86585,35,8,0.711956,0.701087,0.52439,86,0.240506,0.270042,36,20242025,28.4878,27.42682,Detroit Red Wings,17,4,,39,30,3,2024-2025
0.535706,82,255,3.10975,255,3.10975,36,7,0.878661,0.803348,0.51829,85,0.142857,0.17619,38,20242025,29.89024,28.58536,New York Rangers,3,9,,39,35,1,2024-2025
0.549049,82,257,3.13414,222,2.70731,35,12,0.772222,0.722223,0.5,82,0.086956,0.125603,33,20242025,28.7317,29.4878,New York Islanders,2,4,,35,28,2,2024-2025
0.446417,82,261,3.18292,217,2.64634,37,10,0.754032,0.741936,0.4878,80,0.090497,0.117647,31,20242025,32.29268,27.68292,Anaheim Ducks,24,1,,35,24,4,2024-2025
0.527669,82,287,3.5,242,2.95121,36,12,0.800925,0.777778,0.4878,80,0.235294,0.257918,33,20242025,30.13414,28.34146,Pittsburgh Penguins,5,3,,34,24,1,2024-2025
0.478296,82,287,3.5,265,3.2317,39,7,0.804979,0.763486,0.4817,79,0.152838,0.187772,32,20242025,28.87804,27.78048,Buffalo Sabres,7,3,,36,29,4,2024-2025
0.485609,82,262,3.19512,245,2.9878,41,6,0.787564,0.772021,0.46341,76,0.171806,0.189427,33,20242025,28.56097,27.35365,Seattle Kraken,55,2,,35,28,2,2024-2025
0.516932,82,271,3.30487,222,2.70731,39,10,0.788135,0.762712,0.46341,76,0.095652,0.152173,33,20242025,28.60975,26.51219,Boston Bruins,6,7,,33,26,0,2024-2025
0.499223,82,283,3.45121,232,2.82926,39,10,0.796019,0.77612,0.46341,76,0.102803,0.149532,27,20242025,26.95121,26.96341,Philadelphia Flyers,4,3,,33,21,6,2024-2025
0.512694,82,274,3.34146,212,2.58536,44,8,0.81893,0.814815,0.41463,68,0.197368,0.219298,28,20242025,28.56097,29.30487,Nashville Predators,18,4,,30,24,2,2024-2025
0.44756,82,292,3.56097,224,2.7317,46,11,0.819383,0.792952,0.37195,61,0.21164,0.248677,23,20242025,31.10975,24.45121,Chicago Blackhawks,16,0,,25,20,2,2024-2025
0.480641,82,310,3.78048,208,2.53658,50,12,0.761718,0.742188,0.31707,52,0.150442,0.18584,18,20242025,31.78048,26.86585,San Jose Sharks,28,1,,20,14,2,2024-2025
0.522617,82,226,2.75609,278,3.39024,23,4,0.87931,0.844828,0.69512,114,0.239837,0.264227,51,20232024,29.4878,31.4878,New York Rangers,3,6,,55,43,4,2023-2024
0.540144,82,232,2.82926,294,3.58536,21,9,0.870292,0.820084,0.68902,113,0.225,0.241666,48,20232024,28.65853,31.56097,Dallas Stars,25,4,,52,40,4,2023-2024
0.525654,82,211,2.57317,277,3.37804,23,7,0.906976,0.864342,0.67682,111,0.236947,0.269076,50,20232024,25.62195,33.32926,Carolina Hurricanes,12,8,,52,44,2,2023-2024
0.512679,82,198,2.41463,265,3.2317,24,6,0.852233,0.824743,0.67073,110,0.201492,0.235074,49,20232024,27.79268,33.70731,Florida Panthers,13,8,,52,42,3,2023-2024
0.475866,82,198,2.41463,259,3.15853,24,6,0.784753,0.771301,0.67073,110,0.166666,0.1875,52,20232024,29.62195,30.34146,Winnipeg Jets,52,8,,52,46,0,2023-2024
0.521312,82,221,2.69512,279,3.40243,23,9,0.818897,0.791339,0.66463,109,0.199218,0.226562,50,20232024,28.57317,28.39024,Vancouver Canucks,23,7,,50,44,0,2023-2024
0.495045,82,221,2.69512,263,3.20731,20,15,0.850746,0.824627,0.66463,109,0.19753,0.222222,43,20232024,30.53658,29.25609,Boston Bruins,6,5,,47,36,4,2023-2024
0.47944,82,252,3.07317,302,3.68292,25,7,0.825757,0.799243,0.65243,107,0.223021,0.244604,48,20232024,29.80487,32.9878,Colorado Avalanche,21,4,,50,42,2,2023-2024
0.532288,82,236,2.87804,292,3.56097,27,6,0.821705,0.794574,0.63414,104,0.242798,0.263374,47,20232024,28.13414,33.75609,Edmonton Oilers,22,4,,49,39,2,2023-2024
0.534512,82,261,3.18292,298,3.63414,26,10,0.794117,0.768908,0.62195,102,0.20168,0.239495,41,20232024,29.82926,32.57317,Toronto Maple Leafs,10,5,,46,33,5,2023-2024
0.503536,82,248,3.02439,266,3.2439,30,5,0.79757,0.769231,0.60365,99,0.197026,0.215613,44,20232024,30.57317,32.21951,Nashville Predators,18,4,,47,38,3,2023-2024
